dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,calorie_label
Duck Feet,250,20.0,15.0,5.0,🔴 高卡
Fried Pork with Peppers,600,30.0,40.0,20.0,🔴 高卡
Spicy Ramen,600,25.0,20.0,80.0,🔴 高卡
Rice Cakes,150,2.0,5.0,25.0,🟡 中卡
Seeded Bread Roll,200,6.0,5.0,30.0,🟡 中卡
Fried Rice with Egg and Potatoes,600,30.0,25.0,70.0,🔴 高卡
Sweet and Sour Dish,400,20.0,15.0,50.0,🔴 高卡
Mixed Thai Cuisine,800,50.0,40.0,70.0,🔴 高卡
Scallop and Roe Rice Bowl,600,30.0,25.0,50.0,🔴 高卡
Mixed Plate with Curry and Meat,800,40.0,35.0,90.0,🔴 高卡
Beef and Edamame Stew,450,30.0,20.0,40.0,🔴 高卡
Pasta with Scallops,600,30.0,20.0,70.0,🔴 高卡
Noodle Soup with Vegetables and Eggs,500,25.0,15.0,70.0,🔴 高卡
Seafood Broth,250,20.0,10.0,15.0,🔴 高卡
Loaded Sweet Potato Fries,600,10.0,25.0,80.0,🔴 高卡
Steak with Rice and Potatoes,600,40.0,20.0,60.0,🔴 高卡
Steamed Fish with Shrimp and Stir-fried Vegetables,600,40.0,20.0,30.0,🔴 高卡
Tofu with Soy Sauce,150,10.0,5.0,15.0,🟡 中卡
Beef and Zucchini Rice Bowl,450,25.0,15.0,60.0,🔴 高卡
Wrapped Dumplings,300,8.0,10.0,45.0,🔴 高卡
Sushi and Pastry Dish,600,25.0,30.0,50.0,🔴 高卡
Matcha Mochi,200,3.0,5.0,35.0,🟡 中卡
Seasoned Fries,300,3.0,15.0,40.0,🔴 高卡
Fried Chicken Burger with Nuggets,800,30.0,40.0,70.0,🔴 高卡
Salted Cookies,150,2.0,7.0,20.0,🟡 中卡
Shrimp and Okra,350,30.0,10.0,20.0,🔴 高卡
Heart-shaped Toast,250,8.0,5.0,45.0,🔴 高卡
Meat over Rice,600,40.0,20.0,70.0,🔴 高卡
Kibbeh or similar meat dish,600,40.0,30.0,50.0,🔴 高卡
Lobster with vegetables and soup,800,60.0,30.0,50.0,🔴 高卡
Stir-fried Eggs with Cucumbers,300,15.0,20.0,10.0,🔴 高卡
Mixed Vegetable and Sausage Dish,350,15.0,20.0,30.0,🔴 高卡
Korean-style mixed salad,450,25.0,15.0,60.0,🔴 高卡
Spicy Chicken Feet Stew with Rice,600,40.0,25.0,70.0,🔴 高卡
Mediterranean Salad,250,8.0,15.0,20.0,🔴 高卡
Banana and Orange,150,2.0,0.5,38.0,🟡 中卡
Strawberry Ice Cream Dessert,400,5.0,15.0,65.0,🔴 高卡
Seafood Hot Pot with Noodles,800,40.0,30.0,90.0,🔴 高卡
Seafood and Noodles,800,50.0,30.0,70.0,🔴 高卡
Fried Tempura,600,10.0,30.0,70.0,🔴 高卡
Mixed Seafood Soup,600,40.0,30.0,20.0,🔴 高卡
Green Pancakes,300,10.0,15.0,30.0,🔴 高卡
Fried Chicken with Curry Rice,700,25.0,30.0,80.0,🔴 高卡
Mixed Vegetables and Fried Items,150,3.0,5.0,25.0,🟡 中卡
Cucumber and Egg Salad,250,12.0,15.0,10.0,🔴 高卡
Banana and Pumpkin Dessert,350,5.0,10.0,60.0,🔴 高卡
Yogurt with chocolate and juice,350,5.0,15.0,50.0,🔴 高卡
Oysters with vegetables,300,25.0,10.0,15.0,🔴 高卡
Omelet with Noodles,500,20.0,25.0,50.0,🔴 高卡
Leafy Greens Salad,50,2.0,0.5,10.0,🟢 低卡
Cheeseburger with Pineapple,600,35.0,30.0,45.0,🔴 高卡
Fried Dough Sticks with Creamy Dip,500,10.0,30.0,50.0,🔴 高卡
Beef Bean Sprout Soup,350,25.0,15.0,30.0,🔴 高卡
Fried Fish with Pasta,700,40.0,30.0,70.0,🔴 高卡
Cream Cheese & Chocolate Sandwich,174,0.5,0.55,35.0,🟡 中卡
Grilled Sausages and Bread,600,25.0,40.0,50.0,🔴 高卡
Packaged meal,300,10.0,15.0,35.0,🔴 高卡
Baked Salmon,350,30.0,20.0,5.0,🔴 高卡
Fruit Smoothies,250,1.0,0.5,60.0,🔴 高卡
Mixed Asian Dumplings and Noodles,600,25.0,20.0,80.0,🔴 高卡
Matcha-flavored dessert,250,5.0,10.0,35.0,🔴 高卡
Shrimp with Bok Choy,250,20.0,10.0,15.0,🔴 高卡
Tofu with Ham,300,15.0,20.0,10.0,🔴 高卡
Shrimp and Grilled Corn,300,25.0,10.0,15.0,🔴 高卡
Stewed Meat with Rice and Vegetables,700,40.0,30.0,70.0,🔴 高卡
Vietnamese Omelette,500,20.0,25.0,50.0,🔴 高卡
Chickpea and Sun-Dried Tomato Dish,350,20.0,15.0,40.0,🔴 高卡
Barbecue Chicken Wings,300,25.0,20.0,10.0,🔴 高卡
Stir-fried Noodles with Vegetables and Sausage,450,20.0,15.0,60.0,🔴 高卡
Dried Pork,250,20.0,15.0,5.0,🔴 高卡
Shepherd's Pie,600,25.0,30.0,50.0,🔴 高卡
Dried Red Chilies,282,12.0,13.2,55.0,🔴 高卡
Cream-filled pastries,400,6.0,15.0,60.0,🔴 高卡
Noodle with dipping sauce,600,25.0,20.0,80.0,🔴 高卡
Beef Floss,200,10.0,15.0,5.0,🟡 中卡
Stew with Dumplings,600,30.0,25.0,50.0,🔴 高卡
Grilled Chicken and Fish Skewers,600,50.0,30.0,20.0,🔴 高卡
Chicken Feet in Sauce,300,25.0,20.0,10.0,🔴 高卡
Cheesy Potato Gratin,350,15.0,20.0,30.0,🔴 高卡
Stir-fried Eggplant and Potato,350,25.0,15.0,40.0,🔴 高卡
Mixed Vegetable Plate with Egg and Soup,600,20.0,15.0,100.0,🔴 高卡
Beef Chili,400,30.0,25.0,10.0,🔴 高卡
Chicken Skewers with Rice and Corn,800,40.0,30.0,90.0,🔴 高卡
Bowl with grilled protein and vegetables,600,30.0,20.0,70.0,🔴 高卡
Canned White Beans,120,8.0,0.5,22.0,🟡 中卡
Spicy Fried Lotus Root,250,10.0,15.0,20.0,🔴 高卡
Stir-fried Bell Peppers with Meat,350,25.0,20.0,15.0,🔴 高卡
Stir-fried Green Peppers with Egg,300,20.0,15.0,25.0,🔴 高卡
Cake with Milk,350,8.0,15.0,50.0,🔴 高卡
Breaded Chicken or Fish,300,10.0,15.0,30.0,🔴 高卡
Skewers and Hot Pot,800,50.0,40.0,60.0,🔴 高卡
Pudding or Smoothie,200,4.0,5.0,30.0,🟡 中卡
Fish Head Soup,200,25.0,10.0,0.0,🟡 中卡
Grilled Chicken with Noodles,800,40.0,30.0,70.0,🔴 高卡
Stir-fried Noodles with Egg and Vegetables,600,30.0,20.0,70.0,🔴 高卡
Beef with Vegetables and Pasta,700,40.0,30.0,60.0,🔴 高卡
Noodles with Oysters,600,25.0,30.0,50.0,🔴 高卡
Stir-fried Cauliflower with Meat,400,25.0,15.0,50.0,🔴 高卡
Mushroom Pasta,600,20.0,15.0,80.0,🔴 高卡
Seafood Curry,450,30.0,25.0,20.0,🔴 高卡
Mushroom Risotto,450,12.0,15.0,65.0,🔴 高卡
Chocolate Jelly,150,2.0,5.0,25.0,🟡 中卡
Sautéed Peppers,150,3.0,7.0,20.0,🟡 中卡
Cheese and Bacon Bread,300,10.0,15.0,35.0,🔴 高卡
Egg and Rice Dish,600,30.0,20.0,80.0,🔴 高卡
Spicy Seafood Noodle Soup,600,25.0,30.0,50.0,🔴 高卡
Spicy Tomato Paste,150,5.0,10.0,15.0,🟡 中卡
Sizzling Steak with Eggs,700,50.0,40.0,30.0,🔴 高卡
Steamed Rice and Corn,300,6.0,2.0,60.0,🔴 高卡
Vegetable Stir-fry with Soup,450,20.0,15.0,60.0,🔴 高卡
Biryani with sides,800,25.0,30.0,100.0,🔴 高卡
Savory Buns,250,5.0,10.0,35.0,🔴 高卡
Spicy Noodle Soup with Tofu,600,25.0,20.0,80.0,🔴 高卡
Peanut Butter Sandwich,300,10.0,12.0,36.0,🔴 高卡
Dumplings with Sour Cream,300,8.0,10.0,45.0,🔴 高卡
Sweet Sesame Rolls,300,5.0,10.0,50.0,🔴 高卡
Spicy Tofu and Beef Stew,600,40.0,30.0,20.0,🔴 高卡
Stir-fried Lotus Root with Meat,350,15.0,20.0,30.0,🔴 高卡
Bánh bèo,250,5.0,10.0,35.0,🔴 高卡
Steamed Shellfish with Vegetables,250,20.0,10.0,15.0,🔴 高卡
Boiled Eggs with Grains,450,25.0,20.0,50.0,🔴 高卡
Shrimp Tofu Soup,350,25.0,15.0,30.0,🔴 高卡
Fried Corn Snacks,300,5.0,15.0,40.0,🔴 高卡
Spiced Fish,300,25.0,15.0,0.0,🔴 高卡
Blueberry Smoothie,250,8.0,5.0,45.0,🔴 高卡
Sesame Chicken with Sides,800,50.0,45.0,60.0,🔴 高卡
Egg and Fruit Plate,300,10.0,15.0,35.0,🔴 高卡
Fried Chicken Burger Meal,800,30.0,40.0,70.0,🔴 高卡
Liuzhou Luo Si Fen,350,8.0,10.0,60.0,🔴 高卡
Breakfast Tray,450,8.0,20.0,60.0,🔴 高卡
Lotus Root and Pork Stir-fry with Vegetables,600,30.0,25.0,70.0,🔴 高卡
Mixed Skewers with Soup and Dessert,600,30.0,25.0,70.0,🔴 高卡
Pancakes with chocolate and strawberries,600,10.0,20.0,90.0,🔴 高卡
Fried Rice with Grilled Chicken,800,40.0,30.0,90.0,🔴 高卡
Sweet Corn and Soft Serve Ice Cream,400,8.0,10.0,70.0,🔴 高卡
Grilled Dumplings,300,8.0,10.0,45.0,🔴 高卡
Fruit and Yogurt Bowl with Sandwich,450,10.0,15.0,65.0,🔴 高卡
Marbled Beef,250,18.0,20.0,0.0,🔴 高卡
Stir-fried bell peppers with meat,350,25.0,15.0,30.0,🔴 高卡
Fresh Peas,62,5.4,0.2,11.0,🟢 低卡
Grilled Steak with Potato Wedges,800,50.0,40.0,60.0,🔴 高卡
Vietnamese meal with rice and assorted dishes,800,50.0,30.0,90.0,🔴 高卡
Beef steak,250,25.0,15.0,0.0,🔴 高卡
Crawfish and Shrimp Noodles,800,50.0,30.0,80.0,🔴 高卡
Vegetable Stir-fry with Protein,600,30.0,20.0,70.0,🔴 高卡
Stir-fried vegetables with rice and soup,800,50.0,30.0,70.0,🔴 高卡
Grilled Squid Chips,200,5.0,10.0,25.0,🟡 中卡
Homemade Burger,350,20.0,15.0,40.0,🔴 高卡
Cheese with Fruit Compote,300,8.0,15.0,35.0,🔴 高卡
Character Noodle Soup,350,12.0,10.0,50.0,🔴 高卡
Ice Cream Cone and Milkshake,300,4.0,12.0,45.0,🔴 高卡
Tamagoyaki,250,20.0,15.0,10.0,🔴 高卡
Shredded Green Salad,50,1.5,0.5,10.0,🟢 低卡
Baked Pasta Casserole,450,25.0,20.0,50.0,🔴 高卡
Crab Porridge,350,20.0,10.0,50.0,🔴 高卡
Assorted Steamed Vegetables and Tofu,450,20.0,15.0,60.0,🔴 高卡
Seafood Glass Noodle Salad,450,30.0,15.0,50.0,🔴 高卡
Sweetened Tomatoes,150,1.0,0.5,35.0,🟡 中卡
Cheesy Wrap,800,30.0,40.0,70.0,🔴 高卡
Coffee Solid Drink,100,1.0,2.5,20.0,🟡 中卡
Fried Greens,150,5.0,10.0,10.0,🟡 中卡
Pasta with Tomato Sauce and Eggplant,600,20.0,15.0,90.0,🔴 高卡
Rice with Soup and Dumplings,600,20.0,15.0,90.0,🔴 高卡
Spicy Chicken Soup with Vegetables,600,30.0,20.0,70.0,🔴 高卡
Eight Treasures Dessert,250,6.0,5.0,45.0,🔴 高卡
Trolley Noodle,250,8.0,5.0,45.0,🔴 高卡
Shallots,72,2.0,0.1,16.8,🟢 低卡
Vegetable Salad with Noodles,150,3.0,5.0,25.0,🟡 中卡
Fruit and Nut Toast,450,10.0,15.0,65.0,🔴 高卡
Shrimp and Sausage Stir-fry,300,25.0,15.0,20.0,🔴 高卡
Fried Eggs with Corn,400,20.0,20.0,40.0,🔴 高卡
Tofu cubes,200,15.0,10.0,20.0,🟡 中卡
Spicy Shredded Vegetables,150,3.0,5.0,25.0,🟡 中卡
Roasted Cauliflower with Sauce,200,5.0,10.0,25.0,🟡 中卡
Stir-fried Vegetables with Tofu and Noodles,600,25.0,20.0,80.0,🔴 高卡
Rice with roasted meat,600,30.0,20.0,70.0,🔴 高卡
Fried seafood and salad,800,50.0,40.0,60.0,🔴 高卡
Sliced Meat with Garnish,250,20.0,15.0,5.0,🔴 高卡
Spicy Potatoes,350,10.0,15.0,45.0,🔴 高卡
Creamy Dessert with Snack,350,8.0,15.0,50.0,🔴 高卡
Black Bean Dish,300,20.0,15.0,30.0,🔴 高卡
Beef Stir-Fry with Pineapple,450,30.0,20.0,40.0,🔴 高卡
Savory Pancake Rolls,300,10.0,15.0,35.0,🔴 高卡
Cheese Cracker,150,3.0,8.0,15.0,🟡 中卡
Cake and Fried Snacks,450,5.0,20.0,65.0,🔴 高卡
Heart-shaped Pizza,800,35.0,30.0,90.0,🔴 高卡
Bread with Cream Cheese and Fish Roe,250,10.0,15.0,25.0,🔴 高卡
Stir-fried Potatoes and Bell Peppers,250,5.0,10.0,35.0,🔴 高卡
Fish Stir-fry,450,30.0,20.0,25.0,🔴 高卡
Blood sausage and rice,600,25.0,30.0,50.0,🔴 高卡
Sweet and Sour Shrimp with Rice,600,30.0,20.0,70.0,🔴 高卡
Noodle Dish with Cracklings,600,20.0,25.0,70.0,🔴 高卡
Beef with Greens,450,35.0,20.0,15.0,🔴 高卡
Chicken and Vegetable Pizza,250,12.0,10.0,30.0,🔴 高卡
Jujube Snack,150,2.0,5.0,25.0,🟡 中卡
Stir-fried Potatoes with Green Peppers,350,10.0,15.0,45.0,🔴 高卡
Corn Salad,250,5.0,10.0,40.0,🔴 高卡
Egg dish,150,12.0,10.0,5.0,🟡 中卡
Fig and Cheese Toast,300,8.0,10.0,45.0,🔴 高卡
Ramen with Toppings,600,15.0,20.0,80.0,🔴 高卡
Tortillas with meat filling,600,40.0,30.0,50.0,🔴 高卡
Peking Duck with Pancakes,400,30.0,20.0,40.0,🔴 高卡
Shredded Cheese,400,25.0,33.0,2.0,🔴 高卡
Seafood and Chicken Boil,800,50.0,30.0,70.0,🔴 高卡
Spicy Stir-Fried Eel,300,25.0,15.0,20.0,🔴 高卡
Spicy Dumplings with Greens,400,12.0,10.0,70.0,🔴 高卡
Steamed Crabs with Vegetables and Rice,600,40.0,20.0,50.0,🔴 高卡
Stir-fried Celery with Goji Berries,150,10.0,5.0,20.0,🟡 中卡
Snacks,150,2.0,8.0,18.0,🟡 中卡
Fish Snack,100,5.0,2.0,15.0,🟡 中卡
Fried Egg with Potatoes,350,12.0,20.0,30.0,🔴 高卡
Bone Marrow Stew,600,50.0,40.0,10.0,🔴 高卡
Fried Noodles with Skewers,800,40.0,30.0,90.0,🔴 高卡
Chocolate Sandwich Cookie,150,1.0,7.0,22.0,🟡 中卡
Watermelon-flavored chewing gum,70,0.0,0.5,17.0,🟢 低卡
Tomato Ketchup,100,1.0,0.5,24.0,🟡 中卡
Roasted Carrots with Yogurt,200,3.0,10.0,30.0,🟡 中卡
Sweet Dessert with Taro and Tapioca,250,4.0,5.0,45.0,🔴 高卡
Spiced Broth,150,3.0,5.0,25.0,🟡 中卡
Mixed Vegetable and Sausage Stir-fry with Rice,600,25.0,30.0,50.0,🔴 高卡
Shrimp with Rice and Vegetables,600,30.0,15.0,80.0,🔴 高卡
Chocolate Snack Bar,200,2.0,10.0,28.0,🟡 中卡
Fruit platter with snacks,150,3.0,2.0,35.0,🟡 中卡
Meat Skewers with Flatbread,800,60.0,40.0,50.0,🔴 高卡
Pancakes with Syrup and Pasta,600,10.0,20.0,90.0,🔴 高卡
Cooked leafy greens,50,3.0,0.5,10.0,🟢 低卡
Shrimp and Egg Rice Bowl,600,30.0,20.0,70.0,🔴 高卡
Assorted Rolled Meats,600,30.0,45.0,20.0,🔴 高卡
Whole Grain Bread with Dried Fruits,250,8.0,3.5,45.0,🔴 高卡
Whole Wheat Chia Seed Bread,250,8.0,4.5,45.0,🔴 高卡
Instant Porridge,250,8.0,5.0,45.0,🔴 高卡
Vegetable Sushi Roll,250,8.0,5.0,45.0,🔴 高卡
Meat with Sauce,350,20.0,15.0,40.0,🔴 高卡
Cabbage with Red Rice,450,15.0,10.0,80.0,🔴 高卡
Oil and Green Onion Soup,150,5.0,10.0,10.0,🟡 中卡
Stir-fried Beef and Eggs,600,40.0,30.0,20.0,🔴 高卡
Steamed Rice with Fried Shallots,450,10.0,15.0,70.0,🔴 高卡
Sandwiches and drinks,600,15.0,20.0,80.0,🔴 高卡
Fried Chicken Feet with Vegetables,300,25.0,20.0,5.0,🔴 高卡
Dried Raisins,300,3.0,0.5,75.0,🔴 高卡
Egg Cake Crust,150,3.0,5.0,25.0,🟡 中卡
Toasted Sandwich,250,8.0,10.0,30.0,🔴 高卡
Grilled Fish and Skewers,800,60.0,40.0,50.0,🔴 高卡
Stir-fried Beef with Vegetables and Steamed Fish,600,40.0,20.0,50.0,🔴 高卡
Assorted Breads and Desserts,600,15.0,20.0,80.0,🔴 高卡
Vietnamese Beef Noodle Soup,800,40.0,30.0,90.0,🔴 高卡
Seasoned Lamb Chops,350,30.0,25.0,0.0,🔴 高卡
Pork with pumpkin and stir-fried vegetables,800,50.0,30.0,100.0,🔴 高卡
Stir-fried Snap Peas with Pork,350,25.0,20.0,15.0,🔴 高卡
Fried Rice with Vegetables and Beef,600,25.0,15.0,85.0,🔴 高卡
Grilled Meat with Beans and Potato,600,50.0,30.0,40.0,🔴 高卡
Fast Food Burger,600,25.0,30.0,50.0,🔴 高卡
Sticky Rice with Ice Cream,350,5.0,10.0,60.0,🔴 高卡
Assorted Condiments,300,10.0,15.0,35.0,🔴 高卡
Noodle with meat and vegetables,800,40.0,30.0,90.0,🔴 高卡
Mixed Bowl,600,30.0,25.0,70.0,🔴 高卡
Stir-fried Radish and Green Onions,150,3.0,2.0,30.0,🟡 中卡
Mixed Japanese Meal,800,40.0,30.0,90.0,🔴 高卡
Salmon Tofu Soup,350,25.0,15.0,30.0,🔴 高卡
Stir-Fried Chicken with Peppers,350,25.0,15.0,30.0,🔴 高卡
Sweet Glazed Meat,400,20.0,15.0,50.0,🔴 高卡
Coconut Egg Rolls,150,2.0,6.0,22.0,🟡 中卡
Mixed Spicy Dish,800,30.0,40.0,70.0,🔴 高卡
Colorful Dessert Cups,300,2.0,10.0,50.0,🔴 高卡
Beef Soup with Tofu,600,40.0,20.0,50.0,🔴 高卡
Fried Rice with Fried Chicken,600,15.0,20.0,80.0,🔴 高卡
Hot and Sour Soup,250,15.0,10.0,30.0,🔴 高卡
Couscous with Dried Fruits,350,10.0,5.0,65.0,🔴 高卡
Sweet Glutinous Rice Cake,300,5.0,10.0,50.0,🔴 高卡
Meat stew with vegetables,600,40.0,30.0,50.0,🔴 高卡
Fried Egg on Rice,350,12.0,15.0,45.0,🔴 高卡
Coconut Crackers,150,2.0,7.0,20.0,🟡 中卡
Sweetened Drink or Soup,50,1.0,0.5,12.0,🟢 低卡
Beef Stew with Pineapple,600,40.0,30.0,50.0,🔴 高卡
Watermelon Coconut Jelly,250,3.0,5.0,45.0,🔴 高卡
Goji Berry Snack,150,3.0,7.0,20.0,🟡 中卡
Cereal Drink,250,3.0,5.0,45.0,🔴 高卡
Spicy Sliced Beef,250,20.0,15.0,5.0,🔴 高卡
Soft Serve Ice Cream and Flavored Drink,400,5.0,15.0,60.0,🔴 高卡
Sweet Potato and Fried Plantains,300,4.0,1.5,70.0,🔴 高卡
Meat Curry with Bread,450,30.0,25.0,40.0,🔴 高卡
Jollof Rice with Meat,600,30.0,25.0,70.0,🔴 高卡
Dried Fruits or Snacks,150,3.0,5.0,20.0,🟡 中卡
Fruit Ice Pops,150,1.0,2.0,30.0,🟡 中卡
Dumpling with sauce,250,6.0,5.0,45.0,🔴 高卡
Fried Chicken and Hot Pot,800,30.0,40.0,80.0,🔴 高卡
Tofu Drink,50,5.0,1.5,2.0,🟢 低卡
Beef with Spinach,450,35.0,20.0,15.0,🔴 高卡
Coconut Sago Dessert,150,2.0,5.0,25.0,🟡 中卡
Yogurt with Blueberries,250,8.0,5.0,40.0,🔴 高卡
Healthy Salad Bowl,600,40.0,30.0,50.0,🔴 高卡
Steamed Fish and Spicy Crawfish Salad,600,40.0,30.0,50.0,🔴 高卡
Spiced Dried Meat,250,20.0,15.0,5.0,🔴 高卡
Mango Jelly,70,0.1,0.1,17.5,🟢 低卡
Afternoon Tea,800,10.0,30.0,100.0,🔴 高卡
Steamed Buns and Dim Sum,400,12.0,10.0,70.0,🔴 高卡
Fried Dough Sticks with Soup,600,15.0,30.0,70.0,🔴 高卡
Raw Mangoes,60,0.8,0.4,15.0,🟢 低卡
Vegetable Dessert,250,5.0,10.0,35.0,🔴 高卡
Fried Chicken and Sausage,600,30.0,35.0,40.0,🔴 高卡
Sliced Sausages,300,15.0,25.0,5.0,🔴 高卡
Mixed Salad Platter,600,25.0,30.0,50.0,🔴 高卡
Shrimp and Fried Fish,300,25.0,10.0,0.0,🔴 高卡
Edamame and Soup,350,20.0,15.0,40.0,🔴 高卡
Oranges and Coffee,200,1.0,0.5,50.0,🟡 中卡
Ground Meat and Vegetables,350,20.0,15.0,40.0,🔴 高卡
Nut Muffins,300,5.0,15.0,40.0,🔴 高卡
Oat Crunch Snack,150,3.0,5.0,25.0,🟡 中卡
Savory Lentil Mash,300,15.0,10.0,40.0,🔴 高卡
Spicy Frog Legs,200,25.0,10.0,5.0,🟡 中卡
Steamed Rice Rolls,400,15.0,20.0,50.0,🔴 高卡
Gooseberries,70,1.0,0.3,15.0,🟢 低卡
Sweet and Sour Corn with Meat,350,20.0,15.0,40.0,🔴 高卡
Polenta with Greens and Protein,600,30.0,25.0,50.0,🔴 高卡
Spicy Noodles and Stir-Fried Vegetables,800,25.0,30.0,100.0,🔴 高卡
Tofu and Sausage Stir-fry,450,25.0,20.0,40.0,🔴 高卡
Fried Eggs with Green Peppers,350,20.0,25.0,10.0,🔴 高卡
Noodle Bowl with Sausages and Egg,600,25.0,20.0,80.0,🔴 高卡
Fried tofu with accompaniments,500,25.0,30.0,40.0,🔴 高卡
Fried Pork with Rice and Vegetables,800,50.0,45.0,60.0,🔴 高卡
Eggs with Sausages and Vegetables,600,25.0,35.0,30.0,🔴 高卡
Stir-fried Tofu and Chicken,450,30.0,20.0,25.0,🔴 高卡
Grilled Meat with Egg Yolk,500,40.0,30.0,10.0,🔴 高卡
Broth or Stew,200,15.0,5.0,30.0,🟡 中卡
Grilled Fish Fillet,250,30.0,10.0,0.0,🔴 高卡
Nutritional Milk Powder,400,30.0,10.0,50.0,🔴 高卡
Fruit Tea with Tapioca,150,0.0,0.5,37.0,🟡 中卡
Cooked Pig's Feet,300,25.0,20.0,0.0,🔴 高卡
Five Black Multi-Grain Cereal,200,8.0,5.0,35.0,🟡 中卡
Pumpkin and Boiled Egg,250,12.0,10.0,30.0,🔴 高卡
Fried Shrimp with Vegetables,600,25.0,30.0,50.0,🔴 高卡
Fried Rice Snack,300,10.0,15.0,35.0,🔴 高卡
Sweet Potatoes and Eggs,400,20.0,10.0,60.0,🔴 高卡
Sweet Jelly with Glutinous Rice Balls,250,4.0,5.0,45.0,🔴 高卡
Stir-fried Fish,350,25.0,15.0,30.0,🔴 高卡
Stir-fried Bitter Melon with Pork,350,25.0,15.0,30.0,🔴 高卡
Cheesy Noodle Dish,600,15.0,20.0,80.0,🔴 高卡
Korean Ramen Stew,600,30.0,20.0,80.0,🔴 高卡
Fried rice with vegetables and chicken,600,25.0,20.0,80.0,🔴 高卡
Stewed Rice with Meat,600,25.0,15.0,85.0,🔴 高卡
Noodle Soup with Fried Vegetables,600,15.0,20.0,80.0,🔴 高卡
Steak and Pasta Plate,800,50.0,40.0,60.0,🔴 高卡
Bún riêu,600,30.0,20.0,80.0,🔴 高卡
Stir-fried Fava Beans,250,15.0,10.0,30.0,🔴 高卡
Egg and Pork Stir-fry,600,30.0,40.0,10.0,🔴 高卡
Chicken Cat Treats,70,12.0,2.5,1.0,🟢 低卡
Choco Fest Bar,250,3.0,12.0,35.0,🔴 高卡
Tropical Cocktail,350,2.0,10.0,60.0,🔴 高卡
Stir-fried Green Apples,150,3.0,5.0,25.0,🟡 中卡
Fruit Sauce,50,0.5,0.5,12.0,🟢 低卡
Purple Rice Cake,250,6.0,5.0,45.0,🔴 高卡
Meat and Mushroom Soup,350,25.0,15.0,30.0,🔴 高卡
Creamy Scallop Pasta,600,25.0,30.0,50.0,🔴 高卡
Roast Pork with Peanuts,600,50.0,40.0,20.0,🔴 高卡
Oatmeal with Apricots,300,10.0,5.0,55.0,🔴 高卡
Orange Gelatin,150,3.0,5.0,20.0,🟡 中卡
Spaghetti with Steak,700,40.0,25.0,80.0,🔴 高卡
Sweet Goji Berry Soup,150,2.0,1.0,35.0,🟡 中卡
Spicy Chicken and Tomato Egg Stir-fry,800,30.0,40.0,60.0,🔴 高卡
Mint Chocolate Chip Marshmallows,150,1.0,4.5,30.0,🟡 中卡
Noodles with dumplings,500,15.0,10.0,80.0,🔴 高卡
Mixed small fruits,150,1.0,0.5,35.0,🟡 中卡
Stir-fried Meat with Garlic,600,40.0,30.0,50.0,🔴 高卡
Fried seafood platter with rice,800,40.0,30.0,90.0,🔴 高卡
Grilled Sushi,600,30.0,25.0,50.0,🔴 高卡
Pet food,200,20.0,5.0,10.0,🟡 中卡
Cheese-topped Chicken,350,30.0,20.0,5.0,🔴 高卡
Salty Soda Cookies,150,2.0,6.0,22.0,🟡 中卡
Spinach and Chickpea Soup,150,10.0,5.0,20.0,🟡 中卡
Yuanqi Meal Bag,300,6.0,10.0,45.0,🔴 高卡
Stir-fried mixed dish with rice,600,30.0,20.0,80.0,🔴 高卡
Mixed Seafood and Pastry Platter,600,30.0,25.0,70.0,🔴 高卡
Tomato Sandwich,250,5.0,10.0,35.0,🔴 高卡
Japanese-style meal,600,30.0,20.0,80.0,🔴 高卡
Sliced Kiwifruit,61,0.5,0.5,15.0,🟢 低卡
Banh Xeo (Vietnamese Pancake),400,15.0,20.0,45.0,🔴 高卡
Pickled Green Vegetables,50,1.0,0.5,10.0,🟢 低卡
Planet-themed dessert,300,5.0,10.0,50.0,🔴 高卡
Mixed Nut Snack,200,5.0,8.0,30.0,🟡 中卡
Sandwich and Vegetable Soup,800,40.0,30.0,90.0,🔴 高卡
Dango,300,6.0,2.5,65.0,🔴 高卡
Boiled Octopus,200,30.0,2.0,0.0,🟡 中卡
Fluffy Pancakes with Mont Blanc,600,10.0,20.0,90.0,🔴 高卡
Fruit Salad with Cottage Cheese,250,8.0,10.0,35.0,🔴 高卡
Lobster or similar crustacean,200,40.0,2.0,0.0,🟡 中卡
Sizzling Beef,600,40.0,30.0,25.0,🔴 高卡
Sweet Pudding,250,5.0,10.0,35.0,🔴 高卡
Spiced Bananas,210,2.4,0.6,54.0,🟡 中卡
Gelatin candies,150,1.0,0.5,35.0,🟡 中卡
Prime Rib,800,70.0,50.0,30.0,🔴 高卡
Shrimp and Chicken Stir-fry,600,40.0,25.0,50.0,🔴 高卡
Stir-fried Green Peppers with Bacon,350,15.0,20.0,30.0,🔴 高卡
Omelet with Fried Side,600,25.0,35.0,40.0,🔴 高卡
Yellow Plums,60,0.5,0.2,15.0,🟢 低卡
Fish with Rice and Greens,600,35.0,20.0,60.0,🔴 高卡
Beef Tofu Stew,450,30.0,20.0,35.0,🔴 高卡
Breaded Chicken Fillet,300,20.0,15.0,30.0,🔴 高卡
Grilled Skewers with Edamame,600,30.0,20.0,70.0,🔴 高卡
Condiment,50,1.0,2.0,8.0,🟢 低卡
Mixed Shellfish,250,30.0,5.0,10.0,🔴 高卡
